"Two of Us",Lennon–McCartney,McCartney with Lennon,3:36
"Dig a Pony",Lennon–McCartney,Lennon,3:54
"Across the Universe",Lennon–McCartney,Lennon,3:48
"I Me Mine",George Harrison,Harrison,2:26
"Dig It",Lennon - McCartney - Harrison - Richard Starkey,Lennon,0:50
"Let It Be",Lennon–McCartney,McCartney,4:03
"Maggie Mae",Traditional arr. Lennon - McCartney - Harrison - Starkey,Lennon with McCartney,0:40
"I've Got a Feeling",Lennon–McCartney,McCartney and Lennon,3:37
"One After 909",Lennon–McCartney,Lennon with McCartney,2:54
"The Long and Winding Road",Lennon–McCartney,McCartney,3:38
"For You Blue",Harrison,Harrison,2:32
"Get Back",Lennon–McCartney,McCartney,3:09