Title,Writer(s),Lead vocals,Length
"""Hold My Hand""","Aliaune ""Akon"" Thiam - Giorgio Tuinfort - Claude Kelly",,3:32
"""Hollywood Tonight""",M. Jackson - Brad Buxer - Teddy Riley,,4:30
"""Keep Your Head Up""","M. Jackson - Eddie ""Angelikson"" Cascio - James Porte",,4:49
"""(I Like) The Way You Love Me"" ",M. Jackson,,4:33
"""Monster""","M. Jackson - Cascio - Porte - Curtis ""50 Cent"" Jackson",,5:04
"""Best of Joy""Ê",M. Jackson,,3:02
"""Breaking News""",M. Jackson - Cascio - Porte,,4:14
"""(I Can't Make It) Another Day""Ê",Kravitz,,3:54
"""Behind the Mask""",M. Jackson - Ryuichi Sakamoto - Chris Mosdell,,5:01
"""Much too Soon""",M. Jackson,,2:48